Слово: Aden, Предложенная лемма: denə (100.0%)
Слово: bjar, Предложенная лемма: jar (62.5%)
Слово: bjarxə, Предложенная лемма: jərxə (66.7%)
Слово: bjaxьs, Предложенная лемма: juxsə (66.7%)
Слово: bjumə, Предложенная лемма: jəmə (62.5%)
Слово: bjumənь, Предложенная лемма: ijmən (66.7%)
Слово: bjuro, Предложенная лемма: jar (62.5%)
Слово: bjərxa, Предложенная лемма: jərxə (66.7%)
Слово: bjərxi, Предложенная лемма: jərxə (66.7%)
Слово: bjərхə, Предложенная лемма: jərqə (62.5%)
Слово: bjəveltə, Предложенная лемма: jəvəltə (70.0%)
Слово: bjəvəltə, Предложенная лемма: jəvəltə (70.0%)
Слово: bkamǝluta, Предложенная лемма: kmalta (70.0%)
Слово: bkamьjluta, Предложенная лемма: kamьjluta (72.7%)
Слово: bkanunъ, Предложенная лемма: xaraja (66.7%)
Слово: bkarə, Предложенная лемма: kar (62.5%)
Слово: bkimjə, Предложенная лемма: kim (62.5%)
Слово: bklas, Предложенная лемма: klas (66.7%)
Слово: bkomur, Предложенная лемма: komur (66.7%)
Слово: bkre, Предложенная лемма: kar (62.5%)
Слово: bkteta, Предложенная лемма: ktetə (66.7%)
Слово: bktivjə, Предложенная лемма: ktəvə (66.7%)
Слово: bkujəmə, Предложенная лемма: kjəmə (66.7%)
Слово: bkul, Предложенная лемма: kul (62.5%)
Слово: bkulle, Предложенная лемма: kolleƶskij (66.7%)
Слово: bkullə, Предложенная лемма: kullənəjə (66.7%)
Слово: bkurjuta, Предложенная лемма: kirjutə (70.0%)
Слово: bkut, Предложенная лемма: kut (62.5%)
Слово: bkşta, Предложенная лемма: kuştь (66.7%)
Слово: bkənun, Предложенная лемма: qəməjə (66.7%)
Слово: bkəttə, Предложенная лемма: ktetə (66.7%)
Слово: bleli, Предложенная лемма: lal (62.5%)
Слово: blişanə, Предложенная лемма: lişənə (66.7%)
Слово: blişəne, Предложенная лемма: lişənə (66.7%)
Слово: blişənə, Предложенная лемма: lişənə (66.7%)
Слово: bljəptə, Предложенная лемма: lijpə (66.7%)
Слово: blletə, Предложенная лемма: lal (62.5%)
Слово: blləsl, Предложенная лемма: lələ (62.5%)
Слово: bloki, Предложенная лемма: lkisl (62.5%)
Слово: blumь, Предложенная лемма: lim (62.5%)
Слово: bmajь, Предложенная лемма: maja (62.5%)
Слово: bmapramta, Предложенная лемма: mapramta (72.7%)
Слово: bmaprəmta, Предложенная лемма: mapramta (72.7%)
Слово: bmarduta, Предложенная лемма: marduta (70.0%)
Слово: bmardutə, Предложенная лемма: marduta (70.0%)
Слово: bmarjəztə, Предложенная лемма: marja (66.7%)
Слово: bmasjatta, Предложенная лемма: masjatta (72.7%)
Слово: bmasxaruta, Предложенная лемма: masxaruta (72.7%)
Слово: bmate, Предложенная лемма: matta (62.5%)
Слово: bmaxzətə, Предложенная лемма: məxzetə (70.0%)
Слово: bmaşьjnə, Предложенная лемма: mşəjə (66.7%)
Слово: bmetri, Предложенная лемма: mətruji (66.7%)
Слово: bmhumnuta, Предложенная лемма: mhumnutə (72.7%)
Слово: bmhumnutə, Предложенная лемма: mhumnutə (72.7%)
Слово: bmhumənutə, Предложенная лемма: mhumnutə (72.7%)
Слово: bmija, Предложенная лемма: maja (62.5%)
Слово: bmijə, Предложенная лемма: mijlə (62.5%)
Слово: bmiljuta, Предложенная лемма: miljutə (70.0%)
Слово: bmiljuti, Предложенная лемма: miljutə (70.0%)
Слово: bmiljutə, Предложенная лемма: miljutə (70.0%)
Слово: bminjani, Предложенная лемма: manaja (66.7%)
Слово: bminjanə, Предложенная лемма: mnəjə (66.7%)
Слово: bminjənə, Предложенная лемма: mnəjə (66.7%)
Слово: bmitxə, Предложенная лемма: mitxə (66.7%)
Слово: bmiş, Предложенная лемма: mişmişşi/mişmişi (62.5%)
Слово: bmədrəsə, Предложенная лемма: mədrəsə (70.0%)
Слово: bməhanə, Предложенная лемма: mahana (66.7%)
Слово: bməhanь, Предложенная лемма: mahana (66.7%)
Слово: bməli, Предложенная лемма: əməl (62.5%)
Слово: bməljəzta, Предложенная лемма: məljəztə (72.7%)
Слово: bməljəztə, Предложенная лемма: məljəztə (72.7%)
Слово: bməlǝptə, Предложенная лемма: mələptə (70.0%)
Слово: bmələjtə, Предложенная лемма: mləjə (66.7%)
Слово: bmələptə, Предложенная лемма: mələptə (70.0%)
Слово: bmələputə, Предложенная лемма: mələptə (70.0%)
Слово: bmənao, Предложенная лемма: mənə (62.5%)
Слово: bmənteta, Предложенная лемма: məntetə (70.0%)
Слово: bməntetə, Предложенная лемма: məntetə (70.0%)
Слово: bməntəjati, Предложенная лемма: məntuji (70.0%)
Слово: bməntəjatɩ, Предложенная лемма: mintə (66.7%)
Слово: bməpləxtə, Предложенная лемма: məpləxtə (72.7%)
Слово: bməptul, Предложенная лемма: məptul (70.0%)
Слово: bmərc, Предложенная лемма: mraca (66.7%)
Слово: bmərutə, Предложенная лемма: mərutə (66.7%)
Слово: bməsalia, Предложенная лемма: masalla (66.7%)
Слово: bməsallь, Предложенная лемма: masalla (70.0%)
Слово: bməssəmtə, Предложенная лемма: məsəmtə (63.6%)
Слово: bnate, Предложенная лемма: ofitser (62.5%)
Слово: bnete, Предложенная лемма: ofitser (62.5%)
Слово: bnetə, Предложенная лемма: nətə (62.5%)
Слово: bnijşə, Предложенная лемма: nijşə (66.7%)
Слово: bnitə, Предложенная лемма: nətə (62.5%)
Слово: bnjta, Предложенная лемма: unьjta (66.7%)
Слово: bnota, Предложенная лемма: ntara (62.5%)
Слово: bnoşo, Предложенная лемма: nəşə (62.5%)
Слово: bnoşu, Предложенная лемма: nəşunə (62.5%)
Слово: bnoşə, Предложенная лемма: nəşə (62.5%)
Слово: bnət, Предложенная лемма: nətə (62.5%)
Слово: bnəta, Предложенная лемма: nətə (62.5%)
Слово: bnəti, Предложенная лемма: nətə (62.5%)
Слово: bnətə, Предложенная лемма: nətə (62.5%)
Слово: bnətɩ, Предложенная лемма: nətə (62.5%)
Слово: bonǝər, Предложенная лемма: nərə (62.5%)
Слово: borqul, Предложенная лемма: urqil (66.7%)
Слово: bosətə, Предложенная лемма: sotə (62.5%)
Слово: bpalləta, Предложенная лемма: pəllə (66.7%)
Слово: bparmeta, Предложенная лемма: parmeta (70.0%)
Слово: bparmetə, Предложенная лемма: parmeta (70.0%)
Слово: bpartija, Предложенная лемма: preta (66.7%)
Слово: bpasujatə, Предложенная лемма: pusaja (66.7%)
Слово: bpasujatь, Предложенная лемма: pasujь (66.7%)
Слово: bplan, Предложенная лемма: palan (66.7%)
Слово: bplaşa, Предложенная лемма: plaşa (66.7%)
Слово: bplaşo, Предложенная лемма: plaşa (66.7%)
Слово: bplaşta, Предложенная лемма: plaşa (66.7%)
Слово: bpləxtə, Предложенная лемма: pləxə (66.7%)
Слово: bpləşa, Предложенная лемма: plaşa (66.7%)
Слово: bpləşta, Предложенная лемма: plaşa (66.7%)
Слово: bpləştan, Предложенная лемма: plaşa (66.7%)
Слово: bprəştə, Предложенная лемма: prəştə (70.0%)
Слово: bptəxtə, Предложенная лемма: ptəxə (66.7%)
Слово: bpulad, Предложенная лемма: pulad (66.7%)
Слово: bpulxənə, Предложенная лемма: pulxənə (70.0%)
Слово: bpuləxə, Предложенная лемма: pləxə (66.7%)
Слово: bpusla, Предложенная лемма: pьsla (66.7%)
Слово: bpəlgə, Предложенная лемма: pəlgə (66.7%)
Слово: bpələxi, Предложенная лемма: pələxə (66.7%)
Слово: bpəndь, Предложенная лемма: pənd (66.7%)
Слово: bpərmətə, Предложенная лемма: prəmə (66.7%)
Слово: bpərsupa, Предложенная лемма: parsupa (70.0%)
Слово: bpərşupa, Предложенная лемма: pərş (66.7%)
Слово: bqejrət, Предложенная лемма: qejrət (70.0%)
Слово: bqinşa, Предложенная лемма: qiniştə/qniştə (66.7%)
Слово: bqipi, Предложенная лемма: qippil (62.5%)
Слово: bqişjuta, Предложенная лемма: qişjutə (70.0%)
Слово: bqməjutə, Предложенная лемма: qəməjt/qəməjut (70.0%)
Слово: bqnun, Предложенная лемма: qinnə (66.7%)
Слово: bqolleqtiv, Предложенная лемма: qalla (66.7%)
Слово: bqolleqtivi, Предложенная лемма: qalla (66.7%)
Слово: bqolxozь, Предложенная лемма: qolxoz (70.0%)
Слово: bqomur, Предложенная лемма: qoma (62.5%)
Слово: bqoşun, Предложенная лемма: qoşun (66.7%)
Слово: bquile, Предложенная лемма: qəluji (62.5%)
Слово: bqul, Предложенная лемма: qullux (62.5%)
Слово: bqulle, Предложенная лемма: qullux (66.7%)
Слово: bqurajə, Предложенная лемма: qraj (66.7%)
Слово: bqədrə, Предложенная лемма: qədrə (66.7%)
Слово: bqəm, Предложенная лемма: qəm (62.5%)
Слово: bqəmətə, Предложенная лемма: qəmtə (66.7%)
Слово: bqənun, Предложенная лемма: qənunə/qənun (66.7%)
Слово: bramşa, Предложенная лемма: ramşa (66.7%)
Слово: brapeta, Предложенная лемма: raptaruta (66.7%)
Слово: brappeta, Предложенная лемма: rappeta (70.0%)
Слово: brazɩjutə, Предложенная лемма: razьjuta (70.0%)
Слово: brigadə, Предложенная лемма: rgədə (66.7%)
Слово: brigadь, Предложенная лемма: rgədə (66.7%)
Слово: brijde, Предложенная лемма: raj (62.5%)
Слово: briqli, Предложенная лемма: urqil (66.7%)
Слово: brixa, Предложенная лемма: ruxa (62.5%)
Слово: briztə, Предложенная лемма: rizə (62.5%)
Слово: brizə, Предложенная лемма: rizə (62.5%)
Слово: brişu, Предложенная лемма: riş (62.5%)
Слово: brişım, Предложенная лемма: ruşma (66.7%)
Слово: brişə, Предложенная лемма: riş (62.5%)
Слово: brunij, Предложенная лемма: ironijn (66.7%)
Слово: bruxa, Предложенная лемма: ruxa (62.5%)
Слово: brıgənə, Предложенная лемма: rigunə (66.7%)
Слово: brəmşa, Предложенная лемма: ramşa (66.7%)
Слово: brəqah, Предложенная лемма: rəqə (62.5%)
Слово: brьzaja, Предложенная лемма: rьzaja/rьzzaja (66.7%)
Слово: brьşvəta, Предложенная лемма: rişvət (70.0%)
Слово: brьşvətə, Предложенная лемма: rişvət (70.0%)
Слово: brьşə, Предложенная лемма: rişə (62.5%)
Слово: bsaprajuta, Предложенная лемма: saprajuta (72.7%)
Слово: bsarta, Предложенная лемма: surta (66.7%)
Слово: bsavda, Предложенная лемма: savdakar (66.7%)
Слово: bsele, Предложенная лемма: silə (62.5%)
Слово: bsirjutə, Предложенная лемма: sirjutə (70.0%)
Слово: bsitə, Предложенная лемма: sitvə (62.5%)
Слово: bskarə, Предложенная лемма: sikrənə (66.7%)
Слово: bsluta, Предложенная лемма: sluta (66.7%)
Слово: bsopə, Предложенная лемма: sepə (62.5%)
Слово: bsrəvta, Предложенная лемма: srəvə (66.7%)
Слово: bssra, Предложенная лемма: sьsra (66.7%)
Слово: bsulə, Предложенная лемма: sələ (62.5%)
Слово: bsustijmə, Предложенная лемма: sustə (66.7%)
Слово: bsǝrǝ, Предложенная лемма: sara (62.5%)
Слово: bsəmь, Предложенная лемма: səmə (62.5%)
Слово: bsənə, Предложенная лемма: sənjənə (62.5%)
Слово: bsəra, Предложенная лемма: sara (62.5%)
Слово: bsərtьla, Предложенная лемма: sert (66.7%)
Слово: bsərə, Предложенная лемма: sərgə (62.5%)
Слово: bsəvdə, Предложенная лемма: səvə (62.5%)
Слово: bsəzgərta, Предложенная лемма: səzgərutə (72.7%)
Слово: bsəzgərtə, Предложенная лемма: səzgərutə (72.7%)
Слово: bsьrra, Предложенная лемма: sarrast/sarast (66.7%)
Слово: bsьrtlь, Предложенная лемма: sert (66.7%)
Слово: bsьrə, Предложенная лемма: sərgə (62.5%)
Слово: bsьrьnə, Предложенная лемма: surunə (66.7%)
Слово: btamamatuta, Предложенная лемма: tamma (66.7%)
Слово: btamamatutə, Предложенная лемма: tamma (66.7%)
Слово: btamamta, Предложенная лемма: tamma (66.7%)
Слово: btamamuta, Предложенная лемма: tamma (66.7%)
Слово: btamamətutə, Предложенная лемма: tamma (66.7%)
Слово: btarasta, Предложенная лемма: trasa (66.7%)
Слово: btlə, Предложенная лемма: tələ (62.5%)
Слово: btre, Предложенная лемма: tre (62.5%)
Слово: btupənqi, Предложенная лемма: tpənə (66.7%)
Слово: bturaso, Предложенная лемма: turasa (66.7%)
Слово: bturastə, Предложенная лемма: trasa (66.7%)
Слово: btusa, Предложенная лемма: tasa (62.5%)
Слово: btutun, Предложенная лемма: ətutə (62.5%)
Слово: btvə, Предложенная лемма: tvərə (62.5%)
Слово: btəjmə, Предложенная лемма: tjəmə (66.7%)
Слово: btəlna, Предложенная лемма: tələ (62.5%)
Слово: btьjmǝ, Предложенная лемма: tjəmə (66.7%)
Слово: budəlь, Предложенная лемма: dlə (62.5%)
Слово: bukara, Предложенная лемма: kar (62.5%)
Слово: bukarə, Предложенная лемма: kar (62.5%)
Слово: bukarь, Предложенная лемма: kar (62.5%)
Слово: bukta, Предложенная лемма: kut (62.5%)
Слово: bukərə, Предложенная лемма: kərmə (62.5%)
Слово: buləli, Предложенная лемма: lələ (62.5%)
Слово: bupləstva, Предложенная лемма: plotva (63.6%)
Слово: buqara, Предложенная лемма: aqra (62.5%)
Слово: buqaru, Предложенная лемма: qarţuz (62.5%)
Слово: buqarə, Предложенная лемма: qarxa/qarxə/qarha (62.5%)
Слово: buqarь, Предложенная лемма: qarьjra (62.5%)
Слово: buqmə, Предложенная лемма: qəm (62.5%)
Слово: buqrajьvьn, Предложенная лемма: qraj (66.7%)
Слово: buqərə, Предложенная лемма: qərtə (62.5%)
Слово: buqьrrь, Предложенная лемма: qarar (66.7%)
Слово: burxa, Предложенная лемма: ruxa (62.5%)
Слово: burxə, Предложенная лемма: urxə (62.5%)
Слово: burxь, Предложенная лемма: urxə (62.5%)
Слово: burzuj, Предложенная лемма: razьj (66.7%)
Слово: busajəvi, Предложенная лемма: sjəvə (66.7%)
Слово: busmmnns, Предложенная лемма: səmmuni (70.0%)
Слово: busmnt, Предложенная лемма: səmt (60.0%)
Слово: busura, Предложенная лемма: sara (62.5%)
Слово: busǝjuvь, Предложенная лемма: sijvə (66.7%)
Слово: busəmə, Предложенная лемма: səmə (62.5%)
Слово: butlə, Предложенная лемма: tələ (62.5%)
Слово: butəlь, Предложенная лемма: tələ (62.5%)
Слово: buxrь, Предложенная лемма: xaruşь (62.5%)
Слово: buşjarɩlə, Предложенная лемма: şjara (66.7%)
Слово: buşlə, Предложенная лемма: şlələ (62.5%)
Слово: bvətə, Предложенная лемма: vətən (62.5%)
Слово: bxaccə, Предложенная лемма: xəccə/xədcə (66.7%)
Слово: bxajji, Предложенная лемма: xəjji (66.7%)
Слово: bxala, Предложенная лемма: xala (62.5%)
Слово: bxalsbujatь, Предложенная лемма: xalusь (66.7%)
Слово: bxasjətti, Предложенная лемма: xəsjət (70.0%)
Слово: bxdəjuta, Предложенная лемма: xidjutə (70.0%)
Слово: bxdəjutə, Предложенная лемма: xidjutə (70.0%)
Слово: bxela, Предложенная лемма: xala (62.5%)
Слово: bxele, Предложенная лемма: xelə (62.5%)
Слово: bxeli, Предложенная лемма: xelə (62.5%)
Слово: bxelo, Предложенная лемма: xelə (62.5%)
Слово: bxelə, Предложенная лемма: xelə (62.5%)
Слово: bxora, Предложенная лемма: xora (62.5%)
Слово: bxrəvta, Предложенная лемма: xrəvə (66.7%)
Слово: bxudǝrьjǝtǝm, Предложенная лемма: xudra (66.7%)
Слово: bxulle, Предложенная лемма: xlula (66.7%)
Слово: bxǝjmətutǝ, Предложенная лемма: xəjmə (66.7%)
Слово: bxədtəta, Предложенная лемма: xədəttə (70.0%)
Слово: bxəduta, Предложенная лемма: xədutə (66.7%)
Слово: bxədutə, Предложенная лемма: xədutə (66.7%)
Слово: bxədəjuta, Предложенная лемма: xidjutə (70.0%)
Слово: bxəjji, Предложенная лемма: xəjji (66.7%)
Слово: bxəjmutə, Предложенная лемма: xəjmutə (70.0%)
Слово: bxəkma, Предложенная лемма: xəkmə (66.7%)
Слово: bxəla, Предложенная лемма: xala (62.5%)
Слово: bxəlanuta, Предложенная лемма: axlana (66.7%)
Слово: bxəljt, Предложенная лемма: xəlij (66.7%)
Слово: bxəltə, Предложенная лемма: xəltə (66.7%)
Слово: bxələ, Предложенная лемма: xəltə (62.5%)
Слово: bxəmetə, Предложенная лемма: xəmetə (66.7%)
Слово: bxəmətə, Предложенная лемма: xəmtə (66.7%)
Слово: bxərəçji, Предложенная лемма: xəruçi (66.7%)
Слово: bxətirçəmuta, Предложенная лемма: xətirçəmutə (75.0%)
Слово: bxəzjran, Предложенная лемма: xəzejin (63.6%)
Слово: bzavodь, Предложенная лемма: zavod (66.7%)
Слово: bzdutə, Предложенная лемма: zduta (66.7%)
Слово: bzirəgutə, Предложенная лемма: zirəgutə/zirrəgutə/zirəngutə/zirrəngutə (70.0%)
Слово: bzuzi, Предложенная лемма: zuzə (62.5%)
Слово: bzvəntə, Предложенная лемма: zvəntə (70.0%)
Слово: bzərbo, Предложенная лемма: zur (62.5%)
Слово: bzəxmutə, Предложенная лемма: zəxmutə (70.0%)
Слово: bçapa, Предложенная лемма: çapa (62.5%)
Слово: bçape, Предложенная лемма: çapa (62.5%)
Слово: bçappь, Предложенная лемма: çapa (62.5%)
Слово: bçatunətə, Предложенная лемма: çətun (66.7%)
Слово: bçurrat, Предложенная лемма: çurrə (66.7%)
Слово: bçəlduta, Предложенная лемма: çəldutə (70.0%)
Слово: bçəldutə, Предложенная лемма: çəldutə (70.0%)
Слово: bıgraşnə, Предложенная лемма: grəşə (66.7%)
Слово: bımxəjə, Предложенная лемма: mxəjə (66.7%)
Слово: bşhə, Предложенная лемма: şəhrə (62.5%)
Слово: bşiijluta, Предложенная лемма: şijlə (66.7%)
Слово: bşiljuta, Предложенная лемма: şiljutə (70.0%)
Слово: bşimmə, Предложенная лемма: şimmə (66.7%)
Слово: bşita, Предложенная лемма: şitə (62.5%)
Слово: bşitə, Предложенная лемма: şitə (62.5%)
Слово: bşişiljati, Предложенная лемма: şişiltə (63.6%)
Слово: bşjarɩa, Предложенная лемма: şjara (66.7%)
Слово: bşləmə, Предложенная лемма: şləmə (66.7%)
Слово: bşopa, Предложенная лемма: şap (62.5%)
Слово: bşotəputə, Предложенная лемма: şotəputə/şoţəputə (70.0%)
Слово: bşra, Предложенная лемма: şrara (62.5%)
Слово: bştia, Предложенная лемма: iştij (62.5%)
Слово: bşula, Предложенная лемма: şula (62.5%)
Слово: bşulan, Предложенная лемма: şula (62.5%)
Слово: bşule, Предложенная лемма: şula (62.5%)
Слово: bşulo, Предложенная лемма: şula (62.5%)
Слово: bşulə, Предложенная лемма: şlələ (62.5%)
Слово: bşulь, Предложенная лемма: şula (62.5%)
Слово: bşuraja, Предложенная лемма: şuraja (66.7%)
Слово: bşık, Предложенная лемма: şik (62.5%)
Слово: bşıq, Предложенная лемма: əşq (62.5%)
Слово: bşəj, Предложенная лемма: şaj (62.5%)
Слово: bşəptə, Предложенная лемма: şəpə (62.5%)
Слово: bşərti, Предложенная лемма: şərt (66.7%)
Слово: bşɩtə, Предложенная лемма: iştə (62.5%)
Слово: bǝgraşelь, Предложенная лемма: grəşə (66.7%)
Слово: bǝgraşənə, Предложенная лемма: grəşə (66.7%)
Слово: bǝgrəşənə, Предложенная лемма: grəşə (66.7%)
Слово: bǝjev, Предложенная лемма: ajva (62.5%)
Слово: bǝkrəjьnə, Предложенная лемма: krəjə (66.7%)
Слово: bǝxləsols, Предложенная лемма: xlusa (66.7%)
Слово: bșləmə, Предложенная лемма: ləmzə (62.5%)
Слово: bədajьnə, Предложенная лемма: djənə (66.7%)
Слово: bədala, Предложенная лемма: dlə (62.5%)
Слово: bədijə, Предложенная лемма: dij (62.5%)
Слово: bədjadie, Предложенная лемма: ədijə/ədi (66.7%)
Слово: bədjarə, Предложенная лемма: djara (66.7%)
Слово: bədən, Предложенная лемма: dənə (62.5%)
Слово: bədəni, Предложенная лемма: dənə (62.5%)
Слово: bədər, Предложенная лемма: dərd (62.5%)
Слово: bəgraşlə, Предложенная лемма: grəşə (66.7%)
Слово: bəjinə, Предложенная лемма: jonə (62.5%)
Слово: bəjənə, Предложенная лемма: jən (62.5%)
Слово: bəlja, Предложенная лемма: ljaţa (62.5%)
Слово: bəlle, Предложенная лемма: lal (62.5%)
Слово: bəllə, Предложенная лемма: lələ (62.5%)
Слово: bəlqə, Предложенная лемма: ləqləqə (62.5%)
Слово: bəlsə, Предложенная лемма: losə (62.5%)
Слово: bələhə, Предложенная лемма: ələhtə (62.5%)
Слово: bəmşajəna, Предложенная лемма: mşəjə (66.7%)
Слово: bəməl, Предложенная лемма: əməl (62.5%)
Слово: bəməle, Предложенная лемма: əməl (62.5%)
Слово: bəməli, Предложенная лемма: əməl (62.5%)
Слово: bəməljətə, Предложенная лемма: mləjə (66.7%)
Слово: bəmələ, Предложенная лемма: əməl (62.5%)
Слово: bənatə, Предложенная лемма: nətə (62.5%)
Слово: bənda, Предложенная лемма: nьdra (62.5%)
Слово: bənij, Предложенная лемма: ənij (62.5%)
Слово: bənjə, Предложенная лемма: ənij (62.5%)
Слово: bənni, Предложенная лемма: ənni (62.5%)
Слово: bənta, Предложенная лемма: ntara (62.5%)
Слово: bəntarəna, Предложенная лемма: ntərə (66.7%)
Слово: bəpin, Предложенная лемма: d (62.5%)
Слово: bəplaşa, Предложенная лемма: plaşa (66.7%)
Слово: bəqərtə, Предложенная лемма: qərtə (66.7%)
Слово: bərdun, Предложенная лемма: rəd (62.5%)
Слово: bərpa, Предложенная лемма: rpapa (62.5%)
Слово: bərqul, Предложенная лемма: ərquli (66.7%)
Слово: bərud, Предложенная лемма: rəd (62.5%)
Слово: bəruzь, Предложенная лемма: ruz (62.5%)
Слово: bəsimtə, Предложенная лемма: səmt (66.7%)
Слово: bəsimə, Предложенная лемма: simə (62.5%)
Слово: bəsmatь, Предложенная лемма: səmt (66.7%)
Слово: bəsrit, Предложенная лемма: sert (66.7%)
Слово: bəsrɩjlɩ, Предложенная лемма: sirjə (66.7%)
Слово: bəssə, Предложенная лемма: sustə (62.5%)
Слово: bəsuruta, Предложенная лемма: surta (66.7%)
Слово: bəsəmta, Предложенная лемма: səmt (66.7%)
Слово: bəsəmtə, Предложенная лемма: səmt (66.7%)
Слово: bətijlɩvə, Предложенная лемма: təjlə (66.7%)
Слово: bətunujətɩ, Предложенная лемма: tənuji (66.7%)
Слово: bətəjlь, Предложенная лемма: təjlə (66.7%)
Слово: bəxtə, Предложенная лемма: xətə (62.5%)
Слово: bəxtət, Предложенная лемма: xətə (62.5%)
Слово: bəzdajьna, Предложенная лемма: zadjana (70.0%)
Слово: bəçarta, Предложенная лемма: çreta (66.7%)
Слово: bəçərta, Предложенная лемма: çreta (66.7%)
Слово: bəşrɩjlɩ, Предложенная лемма: şrəjə (66.7%)
Слово: bəşərtə, Предложенная лемма: şərt (66.7%)
Слово: bɩdvəqəlɩ, Предложенная лемма: dvəqə (66.7%)
Слово: bɩgrəşɩnə, Предложенная лемма: grəşə (66.7%)
Слово: bɩjlɩo, Предложенная лемма: jel (62.5%)
Слово: bɩmsaja, Предложенная лемма: msaja (66.7%)
Слово: bɩmxəjjan, Предложенная лемма: mxəjə (66.7%)
Слово: bɩməxəjilə, Предложенная лемма: mxəjə (66.7%)
Слово: bɩnavənɩ, Предложенная лемма: navьnçьj (66.7%)
Слово: bɩnjat, Предложенная лемма: injət (66.7%)
Слово: bɩnjə, Предложенная лемма: njəmə (62.5%)
Слово: bɩnjət, Предложенная лемма: injət (66.7%)
Слово: bɩpjəşɩlə, Предложенная лемма: pjəşə (66.7%)
Слово: bɩpləxə, Предложенная лемма: pləxə (66.7%)
Слово: bɩptəxinə, Предложенная лемма: ptəxə (66.7%)
Слово: bɩptəxə, Предложенная лемма: ptəxə (66.7%)
Слово: bɩqvəjilə, Предложенная лемма: qvəjə (66.7%)
Слово: bɩspərinə, Предложенная лемма: səpər (66.7%)
Слово: bɩsta, Предложенная лемма: astar (62.5%)
Слово: bɩtəjilə, Предложенная лемма: təjlə (66.7%)
Слово: bɩxajjɩna, Предложенная лемма: xəjji (66.7%)
Слово: bɩxləslɩ, Предложенная лемма: xlusa (66.7%)
Слово: bьdjarьla, Предложенная лемма: djara (66.7%)
Слово: bьdjənilə, Предложенная лемма: djənə (66.7%)
Слово: bьdrasə, Предложенная лемма: dərs (66.7%)
Слово: bьgraşnə, Предложенная лемма: grəşə (66.7%)
Слово: bьgraşьnə, Предложенная лемма: grəşə (66.7%)
Слово: bьjarь, Предложенная лемма: jar (62.5%)
Слово: bьklьj, Предложенная лемма: kləjə (66.7%)
Слово: bьktavili, Предложенная лемма: ktəvə (66.7%)
Слово: bьktəvili, Предложенная лемма: ktəvə (66.7%)
Слово: bьllə, Предложенная лемма: lələ (62.5%)
Слово: bьmsaja, Предложенная лемма: msaja (66.7%)
Слово: bьmsajьna, Предложенная лемма: msaja (66.7%)
Слово: bьməxəjenə, Предложенная лемма: məxjənə (70.0%)
Слово: bьnpəlli, Предложенная лемма: npələ (66.7%)
Слово: bьplaşa, Предложенная лемма: plaşa (66.7%)
Слово: bьplaşla, Предложенная лемма: plaşa (66.7%)
Слово: bьplaşьna, Предложенная лемма: plaşa (66.7%)
Слово: bьplaşьtun, Предложенная лемма: plaşa (66.7%)
Слово: bьplaşьva, Предложенная лемма: plaşa (66.7%)
Слово: bьpləxinə, Предложенная лемма: pulxənə (70.0%)
Слово: bьprajşь, Предложенная лемма: praja (66.7%)
Слово: bьqara, Предложенная лемма: ьqra (62.5%)
Слово: bьqraje, Предложенная лемма: qraj (66.7%)
Слово: bьqrajьna, Предложенная лемма: qarjana (70.0%)
Слово: bьqıllə, Предложенная лемма: qəlulə (66.7%)
Слово: bьsləjivə, Предложенная лемма: slьjva (70.0%)
Слово: bьspəjuta, Предложенная лемма: spajuta (70.0%)
Слово: bьsqrs, Предложенная лемма: sqripqə (60.0%)
Слово: bьsrra, Предложенная лемма: sarrastuta/sarastuta (66.7%)
Слово: bьsrь, Предложенная лемма: ьsra (62.5%)
Слово: bьsьra, Предложенная лемма: ьsra (62.5%)
Слово: bьxalsьna, Предложенная лемма: xalusь (66.7%)
Слово: bьxdara, Предложенная лемма: xdara (66.7%)
Слово: bьxdarьna, Предложенная лемма: xdara (66.7%)
Слово: bьxdarьnə, Предложенная лемма: xdara (66.7%)
Слово: bьxdəra, Предложенная лемма: xdara (66.7%)
Слово: bьxsǝrьna, Предложенная лемма: xusrana (70.0%)
Слово: bьzjodili, Предложенная лемма: zjədə (66.7%)
Слово: bьzjədinə, Предложенная лемма: zjədə (66.7%)
Слово: bьzlə, Предложенная лемма: zələ (62.5%)
Слово: bьzrajsla, Предложенная лемма: zraja (66.7%)
Слово: bьzrajьlə, Предложенная лемма: zraja (66.7%)
Слово: bьzəlilə, Предложенная лемма: zəllu (66.7%)
Слово: bьşmaje, Предложенная лемма: şmaja (66.7%)
Слово: bьşmajə, Предложенная лемма: şmaja (66.7%)
Слово: bьşvarəna, Предложенная лемма: şvərə (66.7%)
Слово: calluşьnı, Предложенная лемма: calluşь (100.0%)
Слово: calluşьnə, Предложенная лемма: calluşь (100.0%)
Слово: calləşta, Предложенная лемма: calluşь (100.0%)
Слово: caponeta, Предложенная лемма: cappa (66.7%)
Слово: caqqi, Предложенная лемма: cəqcuqi (75.0%)
Слово: carabə, Предложенная лемма: cara (100.0%)
Слово: carb, Предложенная лемма: cara (100.0%)
Слово: cargo, Предложенная лемма: cara (100.0%)
Слово: cars, Предложенная лемма: cara (100.0%)
Слово: carsъ, Предложенная лемма: cara (100.0%)
Слово: carə, Предложенная лемма: cara (100.0%)
Слово: carɩ, Предложенная лемма: cara (100.0%)
