Слово: salьmun, Предложенная лемма: salmanta (100.0%)
Слово: səxsьjanь, Предложенная лемма: saxsьjana (100.0%)
Слово: maxlьţ, Предложенная лемма: maxulь (100.0%)
Слово: pərpure, Предложенная лемма: pərpuri (100.0%)
Слово: kusitivə, Предложенная лемма: kitvə (66.7%)
Слово: şənşuli, Предложенная лемма: şənşuli (100.0%)
Слово: uçana, Предложенная лемма: çanaв (100.0%)
Слово: şunnintə, Предложенная лемма: şintə (70.0%)
Слово: mxijli, Предложенная лемма: mijlə (66.7%)
Слово: uçвь, Предложенная лемма: açuвь (100.0%)
Слово: вьqţalьjlь, Предложенная лемма: qţala (66.7%)
Слово: şarşarta, Предложенная лемма: şarat (80.0%)
Слово: lijdə, Предложенная лемма: lijpə (75.0%)
Слово: gьlgolь, Предложенная лемма: gol (100.0%)
Слово: muljьssa, Предложенная лемма: mulə (100.0%)
Слово: nizzo, Предложенная лемма: nizə (100.0%)
Слово: gulləti, Предложенная лемма: gillə (100.0%)
Слово: вrixşinvə, Предложенная лемма: rixşə (66.7%)
Слово: ojumə, Предложенная лемма: jumm (100.0%)
Слово: kulll, Предложенная лемма: kul (100.0%)
Слово: ləвəltə, Предложенная лемма: ləвələd (88.9%)
Слово: pətpuţivə, Предложенная лемма: pətə (100.0%)
Слово: mвaqranta, Предложенная лемма: вaqrana (70.0%)
Слово: sərgis, Предложенная лемма: sərgə (100.0%)
Слово: surвьta, Предложенная лемма: surta (77.8%)
Слово: zəpku, Предложенная лемма: zəkzuki (62.5%)
Слово: çəvvuвi, Предложенная лемма: çəvvuвi (100.0%)
Слово: loţta, Предложенная лемма: loţa (100.0%)
Слово: məgli, Предложенная лемма: məgduli (75.0%)
Слово: qolxozniq, Предложенная лемма: qolxoz (100.0%)
Слово: duqdiqqeli, Предложенная лемма: diqqət (63.6%)
Слово: jaddava, Предложенная лемма: jadduvuta (100.0%)
Слово: kullujri, Предложенная лемма: kul (100.0%)
Слово: ţavaljatь, Предложенная лемма: ţava (100.0%)
Слово: вləsili, Предложенная лемма: вləsə (100.0%)
Слово: puşəngi, Предложенная лемма: puşəqə (66.7%)
Слово: ţavalta, Предложенная лемма: ţava (100.0%)
Слово: zrьtьla, Предложенная лемма: zur (100.0%)
Слово: qərə, Предложенная лемма: qə (100.0%)
Слово: rvьjxujatь, Предложенная лемма: rvьjxuta (90.9%)
Слово: mamreto, Предложенная лемма: amarat (66.7%)
Слово: jeljeli, Предложенная лемма: jel (100.0%)
Слово: ləmsə, Предложенная лемма: lə (100.0%)
Слово: mətvit, Предложенная лемма: mətə (100.0%)
Слово: ţaujь, Предложенная лемма: ţaвujь (100.0%)
Слово: mudivtə, Предложенная лемма: mdijtə (66.7%)
Слово: ruznamь, Предложенная лемма: ruz (100.0%)
Слово: nəxijra, Предложенная лемма: nəxijrə (100.0%)
Слово: nəxirjəto, Предложенная лемма: nəxijrə (70.0%)
Слово: xuţor, Предложенная лемма: xuţra (100.0%)
Слово: radio, Предложенная лемма: rəd (100.0%)
Слово: вəssu, Предложенная лемма: вəssə (100.0%)
Слово: tənzil, Предложенная лемма: tənə (100.0%)
Слово: cьjmalь, Предложенная лемма: cjamta (88.9%)
Слово: rəqte, Предложенная лемма: rəqə (100.0%)
Слово: ldənni, Предложенная лемма: dənə (62.5%)
Слово: xərduju, Предложенная лемма: xərduji (100.0%)
Слово: murmu, Предложенная лемма: amura (100.0%)
Слово: supqo, Предложенная лемма: spəqə (100.0%)
Слово: dohazarьj, Предложенная лемма: hazьr (66.7%)
Слово: vllun, Предложенная лемма: vel (100.0%)
Слово: ətit, Предложенная лемма: it (100.0%)
Слово: ləвulijlə, Предложенная лемма: ləвuli (100.0%)
Слово: riqlij, Предложенная лемма: ərquli (100.0%)
Слово: muzlьmta, Предложенная лемма: zalьm (66.7%)
Слово: işkijlo, Предложенная лемма: şijlə (66.7%)
Слово: npьjsalь, Предложенная лемма: npasa (77.8%)
Слово: dizmin, Предложенная лемма: di (100.0%)
Слово: odijlə, Предложенная лемма: di (100.0%)
Слово: məssəв, Предложенная лемма: məssumi (88.9%)
Слово: atureta, Предложенная лемма: atra (100.0%)
Слово: passьla, Предложенная лемма: pasulta (77.8%)
Слово: gosə, Предложенная лемма: gostinisa (100.0%)
Слово: səвzi, Предложенная лемма: səzgirtə (62.5%)
Слово: cupqo, Предложенная лемма: cu (100.0%)
Слово: əxunijli, Предложенная лемма: əxunə (100.0%)
Слово: lmərutə, Предложенная лемма: mərutə (66.7%)
Слово: draşь, Предложенная лемма: draşa (100.0%)
Слово: вizələ, Предложенная лемма: вiz (100.0%)
Слово: mjətivin, Предложенная лемма: mjətə (100.0%)
Слово: cəppəli, Предложенная лемма: cəppər (88.9%)
Слово: şupnili, Предложенная лемма: şəpuni (100.0%)
Слово: dxərto, Предложенная лемма: dərtə (66.7%)
Слово: kməjutə, Предложенная лемма: kmə (100.0%)
Слово: dəhivə, Предложенная лемма: divə (62.5%)
Слово: zurвьnta, Предложенная лемма: zur (100.0%)
Слово: muвjinni, Предложенная лемма: məвjuni (100.0%)
Слово: ţammakaru, Предложенная лемма: ţamakkaruta (70.0%)
Слово: makruzь, Предложенная лемма: makruzь (100.0%)
Слово: puşţa, Предложенная лемма: paşa (100.0%)
Слово: muşmьta, Предложенная лемма: muşamma (88.9%)
Слово: məsmi, Предложенная лемма: məsmijənə (100.0%)
Слово: mənşilə, Предложенная лемма: mənə (100.0%)
Слово: garвjaja, Предложенная лемма: garвja (100.0%)
Слово: dmşijxə, Предложенная лемма: mşijxəjə (70.0%)
Слово: hişjəmtə, Предложенная лемма: həşjə (100.0%)
Слово: texniqi, Предложенная лемма: təxmuni (66.7%)
Слово: madь, Предложенная лемма: maddujь (100.0%)
Слово: вirraqilə, Предложенная лемма: вirqə (77.8%)
Слово: dalotməndi, Предложенная лемма: dolətmənd (100.0%)
Слово: əpin, Предложенная лемма: d (100.0%)
Слово: jəlupə, Предложенная лемма: jə (100.0%)
Слово: spişki, Предложенная лемма: spickə (66.7%)
Слово: məttimunli, Предложенная лемма: mətə (100.0%)
Слово: quvəttij, Предложенная лемма: qvəjə (70.0%)
Слово: raprapta, Предложенная лемма: rappeta (80.0%)
Слово: məjonə, Предложенная лемма: mjəjə (75.0%)
Слово: вerizə, Предложенная лемма: вrəzə (100.0%)
Слово: muxdьrrelьj, Предложенная лемма: muxə (100.0%)
Слово: şəqləli, Предложенная лемма: şəq (100.0%)
Слово: kutlimun, Предложенная лемма: kut (100.0%)
Слово: ţuşjevax, Предложенная лемма: ţşaja (100.0%)
Слово: qurвinnivəx, Предложенная лемма: qurв (100.0%)
Слово: tuliqtolə, Предложенная лемма: tliqtə (100.0%)
Слово: tьla, Предложенная лемма: tala (100.0%)
Слово: qərвinnəxlə, Предложенная лемма: qərəвin (100.0%)
Слово: kətu, Предложенная лемма: kətkuti (100.0%)
Слово: вerəhmi, Предложенная лемма: вeərçəl (66.7%)
Слово: çanьxə, Предложенная лемма: çanьm (75.0%)
Слово: odinnə, Предложенная лемма: di (100.0%)
Слово: dədi, Предложенная лемма: di (100.0%)
Слово: вazar, Предложенная лемма: вazra (100.0%)
Слово: çançure, Предложенная лемма: çançurь (100.0%)
Слово: dьjşeli, Предложенная лемма: dij (100.0%)
Слово: mapşatta, Предложенная лемма: mapşьţana (80.0%)
Слово: quvimtə, Предложенная лемма: qumtə (66.7%)
Слово: gixlə, Предложенная лемма: gixkə (75.0%)
Слово: çanьвьlь, Предложенная лемма: çanaв (100.0%)
Слово: tumьmlan, Предложенная лемма: tammьmana (80.0%)
Слово: nəməhlim, Предложенная лемма: məhlim (70.0%)
Слово: xəcəne, Предложенная лемма: xə (100.0%)
Слово: вitxəre, Предложенная лемма: вit (100.0%)
Слово: panpulь, Предложенная лемма: panpulь (100.0%)
Слово: muqrьţţь, Предложенная лемма: maqruţь (100.0%)
Слово: inglis, Предложенная лемма: in (100.0%)
Слово: hada, Предложенная лемма: ha (100.0%)
Слово: tərso, Предложенная лемма: itə (100.0%)
Слово: mətqillin, Предложенная лемма: mətə (100.0%)
Слово: вiplaşa, Предложенная лемма: plaşa (66.7%)
Слово: qərəsutə, Предложенная лемма: qərutə (77.8%)
Слово: grijpuli, Предложенная лемма: gori (100.0%)
Слово: şulxəjutu, Предложенная лемма: şulxəjə (100.0%)
Слово: вrixşovə, Предложенная лемма: rixşə (66.7%)
Слово: spajva, Предложенная лемма: spaja (100.0%)
Слово: məhəвtə, Предложенная лемма: məhəççər (66.7%)
Слово: sikup, Предложенная лемма: kupə (62.5%)
Слово: grəşte, Предложенная лемма: grəşə (100.0%)
Слово: məxjumotun, Предложенная лемма: məjmun (63.6%)
Слово: surunla, Предложенная лемма: surunə (100.0%)
Слово: məkumili, Предложенная лемма: məkkumi (66.7%)
Слово: xejvəti, Предложенная лемма: xjərtə (66.7%)
Слово: mamţujь, Предложенная лемма: mamţujь (100.0%)
Слово: xulə, Предложенная лемма: xelə (100.0%)
Слово: kərвəçnijvəli, Предложенная лемма: kərвə (100.0%)
Слово: xmətu, Предложенная лемма: xməltə (75.0%)
Слово: вьţlaвьlь, Предложенная лемма: вţala (100.0%)
Слово: tulqo, Предложенная лемма: tula (100.0%)
Слово: tulqovəx, Предложенная лемма: tləqə (100.0%)
Слово: xrьţlь, Предложенная лемма: xruţa (100.0%)
Слово: illa, Предложенная лемма: lala (100.0%)
Слово: italьja, Предложенная лемма: tala (100.0%)
Слово: məngişton, Предложенная лемма: mənə (100.0%)
Слово: tərəpe, Предложенная лемма: tərвə (75.0%)
Слово: aççuzьj, Предложенная лемма: aççuzь (100.0%)
Слово: вlişəni, Предложенная лемма: lişənə (66.7%)
Слово: liqjəməldərqul, Предложенная лемма: qjəmə (66.7%)
Слово: qarqurь, Предложенная лемма: qarţujь (66.7%)
Слово: zruta, Предложенная лемма: zaruca (75.0%)
Слово: quvimtivə, Предложенная лемма: qumtə (66.7%)
Слово: şapuţ, Предложенная лемма: şap (100.0%)
Слово: sirri, Предложенная лемма: isrij (75.0%)
Слово: zdaja, Предложенная лемма: zdaja (100.0%)
Слово: məriq, Предложенная лемма: mər (75.0%)
Слово: şəpşupo, Предложенная лемма: şəpə (100.0%)
Слово: kuldəx, Предложенная лемма: kul (100.0%)
Слово: məkəste, Предложенная лемма: mekə (100.0%)
Слово: əprzuju, Предложенная лемма: pərzuji (100.0%)
Слово: qarra, Предложенная лемма: qarar (100.0%)
Слово: romanovic, Предложенная лемма: rom (100.0%)
Слово: ţaulьnva, Предложенная лемма: ţaulь (100.0%)
Слово: вizməruiə, Предложенная лемма: вiz (100.0%)
Слово: muskinnən, Предложенная лемма: miskinə (100.0%)
Слово: qarasuto, Предложенная лемма: iqara (100.0%)
Слово: munşiju, Предложенная лемма: manşur (88.9%)
Слово: xəsqovin, Предложенная лемма: xəs (100.0%)
Слово: pilxənili, Предложенная лемма: pləxə (100.0%)
Слово: sovqətti, Предложенная лемма: sav (100.0%)
Слово: jivəxlə, Предложенная лемма: jəvəltə (77.8%)
Слово: mignatus, Предложенная лемма: manat (66.7%)
Слово: paruţь, Предложенная лемма: parpurь (75.0%)
Слово: вrьjxь, Предложенная лемма: вrьjxa (100.0%)
Слово: tənurtə, Предложенная лемма: tənə (100.0%)
Слово: вьsjaro, Предложенная лемма: sjara (66.7%)
Слово: şoqijvə, Предложенная лемма: şəqijtə (88.9%)
Слово: jasьr, Предложенная лемма: jassar (75.0%)
Слово: paţuxjatь, Предложенная лемма: pţuxa (100.0%)
Слово: purqo, Предложенная лемма: prəqə (100.0%)
Слово: givəjutə, Предложенная лемма: gvəjə (100.0%)
Слово: purmьju, Предложенная лемма: parmujь (100.0%)
Слово: quntьrtьla, Предложенная лемма: oqun (100.0%)
Слово: maxlьmmьj, Предложенная лемма: maxulь (100.0%)
Слово: petiletqə, Предложенная лемма: ptiltə (100.0%)
Слово: sərkərdili, Предложенная лемма: sərdər (63.6%)
Слово: hədəzi, Предложенная лемма: həd (100.0%)
Слово: nizzə, Предложенная лемма: nizə (100.0%)
Слово: jivilij, Предложенная лемма: juvili (77.8%)
Слово: surizi, Предложенная лемма: sərsuri (75.0%)
Слово: xarela, Предложенная лемма: xala (62.5%)
Слово: gnəhijvə, Предложенная лемма: gnəhə (100.0%)
Слово: səqqət, Предложенная лемма: səquti (100.0%)
Слово: uţmaţьj, Предложенная лемма: ţama (100.0%)
Слово: gidşə, Предложенная лемма: gdijşə (75.0%)
Слово: oввo, Предложенная лемма: вəвə (100.0%)
Слово: makan, Предложенная лемма: makşaţta (75.0%)
Слово: varьjdь, Предложенная лемма: vara (100.0%)
Слово: qəjumjəti, Предложенная лемма: qujə (100.0%)
Слово: pudənə, Предложенная лемма: dənə (62.5%)
Слово: mkipə, Предложенная лемма: kipə (62.5%)
Слово: ruppelan, Предложенная лемма: rpapa (100.0%)
Слово: dəvid, Предложенная лемма: idə (100.0%)
Слово: guljeli, Предложенная лемма: gəlli (77.8%)
Слово: quвiltelə, Предложенная лемма: qiвitqə (70.0%)
Слово: kipti, Предложенная лемма: kipə (100.0%)
Слово: murjьxlь, Предложенная лемма: marjuxь (100.0%)
Слово: ijdəd, Предложенная лемма: ijdə (100.0%)
Слово: pnilij, Предложенная лемма: pinəcij (66.7%)
Слово: ədijəəhə, Предложенная лемма: dij (100.0%)
Слово: вaţьjluta, Предложенная лемма: вaţьjla (100.0%)
Слово: вьdвarьna, Предложенная лемма: duвara (66.7%)
Слово: dьşla, Предложенная лемма: şula (62.5%)
Слово: xdьjrela, Предложенная лемма: daьjra (66.7%)
Слово: vetun, Предложенная лемма: tund (62.5%)
Слово: вinhəju, Предложенная лемма: вnəjə (77.8%)
Слово: məxdəx, Предложенная лемма: məx (100.0%)
Слово: ligrəşe, Предложенная лемма: grəşə (66.7%)
Слово: pərpurj, Предложенная лемма: pərpuri (100.0%)
Слово: pallьjat, Предложенная лемма: pal (100.0%)
Слово: sulmьnta, Предложенная лемма: salmanta (100.0%)
Слово: juvu, Предложенная лемма: ajva (100.0%)
Слово: vьrrьj, Предложенная лемма: rerь (62.5%)
Слово: ijva, Предложенная лемма: ajva (100.0%)
Слово: xţьjtela, Предложенная лемма: xţьjta (100.0%)
Слово: həggiji, Предложенная лемма: əhəg (100.0%)
Слово: quвlələn, Предложенная лемма: qвələ (100.0%)
Слово: zəxmi, Предложенная лемма: zəxmutə (100.0%)
Слово: hlaвtan, Предложенная лемма: hala (100.0%)
Слово: həmminit, Предложенная лемма: həm (100.0%)
Слово: qəși, Предложенная лемма: qə (100.0%)
Слово: saplupьlь, Предложенная лемма: sapa (100.0%)
Слово: jivələ, Предложенная лемма: jəvəltə (100.0%)
Слово: lajne, Предложенная лемма: el (100.0%)
Слово: mədmujilə, Предложенная лемма: mədmuxi (80.0%)
Слово: вxəddujəti, Предложенная лемма: вxəjə (70.0%)
Слово: qaвah, Предложенная лемма: qaвaq (75.0%)
Слово: sujвьva, Предложенная лемма: suja (100.0%)
Слово: gillijtə, Предложенная лемма: gəllijə (100.0%)
Слово: drəhmi, Предложенная лемма: dərə (100.0%)
Слово: mujitilə, Предложенная лемма: mitiltə (66.7%)
Слово: maslь, Предложенная лемма: maslujь (100.0%)
Слово: qomə, Предложенная лемма: qoma (100.0%)
Слово: məkkupivə, Предложенная лемма: məkupi (90.0%)
Слово: вьqţalьjna, Предложенная лемма: qţala (66.7%)
Слово: pəkirri, Предложенная лемма: pəkuri (100.0%)
Слово: xərçlixij, Предложенная лемма: xəruçi (100.0%)
Слово: udalьnal, Предложенная лемма: udalь (100.0%)
Слово: arrə, Предложенная лемма: arra (100.0%)
Слово: məgrişəntə, Предложенная лемма: məgər (100.0%)
Слово: qəvumili, Предложенная лемма: qəvuli (66.7%)
Слово: şqijləli, Предложенная лемма: şijlə (66.7%)
Слово: qədiştə, Предложенная лемма: diştə (66.7%)
Слово: məşhurvə, Предложенная лемма: məşhur (100.0%)
Слово: qomunisti, Предложенная лемма: qoma (100.0%)
Слово: jəliplun, Предложенная лемма: jələ (100.0%)
Слово: şehit, Предложенная лемма: şitə (62.5%)
Слово: dorəmutux, Предложенная лемма: dorəmə (100.0%)
Слово: saţanta, Предложенная лемма: saţana (100.0%)
Слово: xьrra, Предложенная лемма: xьrxьrra (75.0%)
Слово: вagьrjta, Предложенная лемма: вagьruta (90.0%)
Слово: məplixinvə, Предложенная лемма: məpluxi (100.0%)
Слово: həqivəli, Предложенная лемма: həq (100.0%)
Слово: dьjvanlnəhəq, Предложенная лемма: dьjvan (100.0%)
Слово: şəqşiqqənə, Предложенная лемма: əşqənə (63.6%)
Слово: șoqə, Предложенная лемма: qə (100.0%)
Слово: gərduni, Предложенная лемма: gərdəвuli (88.9%)
Слово: вdməxtən, Предложенная лемма: dməxə (66.7%)
Слово: domnь, Предложенная лемма: dəm (100.0%)
Слово: şəxlupi, Предложенная лемма: şəxlupi (100.0%)
Слово: вьgraju, Предложенная лемма: вьgra (100.0%)
Слово: şita, Предложенная лемма: şitə (100.0%)
Слово: вurrьnnь, Предложенная лемма: вurrьnna (100.0%)
Слово: crəxtə, Предложенная лемма: crətə (77.8%)
Слово: вəsət, Предложенная лемма: вəssə (75.0%)
Слово: mitvəjə, Предложенная лемма: motvəjə (100.0%)
Слово: calluşь, Предложенная лемма: calluşь (100.0%)
Слово: məxnuqu, Предложенная лемма: məx (100.0%)
Слово: sələməs, Предложенная лемма: sələ (100.0%)
Слово: navura, Предложенная лемма: avara (62.5%)
Слово: məmrude, Предложенная лемма: məmrudi (100.0%)
Слово: mamţьjalь, Предложенная лемма: mamţujь (100.0%)
Слово: ţumrona, Предложенная лемма: ţmara (100.0%)
Слово: вьlьj, Предложенная лемма: lьjţa (62.5%)
Слово: tumanь, Предложенная лемма: tmanьj (100.0%)
Слово: məvu, Предложенная лемма: məvudi (100.0%)
Слово: pilxənux, Предложенная лемма: pləxə (100.0%)
Слово: datьdajь, Предложенная лемма: data (100.0%)
Слово: lislaja, Предложенная лемма: slaja (66.7%)
Слово: ləqle, Предложенная лемма: le (100.0%)
Слово: həzir, Предложенная лемма: hazьr (100.0%)
Слово: pulţu, Предложенная лемма: pal (100.0%)
Слово: gurvistu, Предложенная лемма: gura (100.0%)
Слово: itvəli, Предложенная лемма: it (100.0%)
Слово: məttetu, Предложенная лемма: mətə (100.0%)
Слово: allah, Предложенная лемма: al (100.0%)
Слово: ьqaro, Предложенная лемма: ьqra (100.0%)
Слово: mьroşnicenqo, Предложенная лемма: mьra (100.0%)
Слово: lmьjsьna, Предложенная лемма: mjasa (66.7%)
Слово: vьjrьvьn, Предложенная лемма: vaj (100.0%)
Слово: pənəx, Предложенная лемма: pənçə (75.0%)
Слово: şqijluvə, Предложенная лемма: şijlə (66.7%)
Слово: arвaţta, Предложенная лемма: araвana (66.7%)
Слово: zungirri, Предложенная лемма: zənguri (100.0%)
Слово: pirdə, Предложенная лемма: pirə (100.0%)
Слово: murmalь, Предложенная лемма: umra (100.0%)
Слово: musqə, Предложенная лемма: əmuqə (62.5%)
Слово: rujьva, Предложенная лемма: arujь (100.0%)
Слово: oçaxoxun, Предложенная лемма: uçax (100.0%)
Слово: palaxi, Предложенная лемма: pal (100.0%)
Слово: xətir, Предложенная лемма: xə (100.0%)
Слово: mumţьjьva, Предложенная лемма: mamţujь (100.0%)
Слово: kamьrrьj, Предложенная лемма: kamurь (100.0%)
Слово: mudijit, Предложенная лемма: mdijtə (100.0%)
Слово: muvaçiв, Предложенная лемма: muvaçьвь (100.0%)
Слово: qəməji, Предложенная лемма: qəməj (100.0%)
Слово: həlli, Предложенная лемма: həl (100.0%)
Слово: vizən, Предложенная лемма: izin (62.5%)
Слово: surivit, Предложенная лемма: surta (77.8%)
Слово: çihtə, Предложенная лемма: çihilutə (75.0%)
Слово: ozadvin, Предложенная лемма: zad (100.0%)
Слово: calxama, Предложенная лемма: colxama (100.0%)
Слово: jaddat, Предложенная лемма: jaddana (88.9%)
Слово: ajroplanь, Предложенная лемма: aeroplan (70.0%)
Слово: вecara, Предложенная лемма: cara (62.5%)
Слово: piraƶqi, Предложенная лемма: apra (100.0%)
Слово: вaţuvva, Предложенная лемма: ţuvva (66.7%)
Слово: dkisij, Предложенная лемма: kis (62.5%)
Слово: kumkimmi, Предложенная лемма: kim (100.0%)
Слово: вxəlma, Предложенная лемма: вexəm (77.8%)
Слово: muvьrran, Предложенная лемма: mavьrrana (100.0%)
Слово: tupəngdarь, Предложенная лемма: tupəng (100.0%)
Слово: вetivə, Предложенная лемма: вetə (100.0%)
Слово: muktivvə, Предложенная лемма: kitvə (66.7%)
Слово: quвlenə, Предложенная лемма: qвələ (100.0%)
Слово: mxəşşə, Предложенная лемма: xəşşə (66.7%)
Слово: ekinə, Предложенная лемма: kin (100.0%)
Слово: çanьв, Предложенная лемма: çanaв (100.0%)
Слово: lвirkoko, Предложенная лемма: вirkə (66.7%)
Слово: svatoxun, Предложенная лемма: sava (100.0%)
Слово: daxlanь, Предложенная лемма: dax (100.0%)
Слово: planь, Предложенная лемма: palan (100.0%)
Слово: uççьzzьlь, Предложенная лемма: aççuzь (100.0%)
Слово: ţlьвlun, Предложенная лемма: ţla (100.0%)
Слово: ləlazьm, Предложенная лемма: lala (100.0%)
Слово: xuşavь, Предложенная лемма: xuş (100.0%)
Слово: pələxi, Предложенная лемма: pələxə (100.0%)
Слово: mullьçça, Предложенная лемма: malla (100.0%)
Слово: вidvəqin, Предложенная лемма: dvəqə (66.7%)
Слово: вьdraşena, Предложенная лемма: draşa (66.7%)
Слово: pljşili, Предложенная лемма: pal (100.0%)
Слово: sareazь, Предложенная лемма: sara (100.0%)
Слово: ţallь, Предложенная лемма: ţallь (100.0%)
Слово: məxkumovə, Предложенная лемма: məx (100.0%)
Слово: şvijqu, Предложенная лемма: şvijtə (88.9%)
Слово: вurkətu, Предложенная лемма: вurktə (100.0%)
Слово: purqeli, Предложенная лемма: pəruqi (100.0%)
Слово: axlaxva, Предложенная лемма: xlava (77.8%)
Слово: ptixte, Предложенная лемма: ptiltə (66.7%)
Слово: məzmuri, Предложенная лемма: məmrudi (66.7%)
Слово: djumə, Предложенная лемма: dəjqunə (75.0%)
Слово: təntuni, Предложенная лемма: təntuni (100.0%)
Слово: ruppunva, Предложенная лемма: rpapa (100.0%)
Слово: pulţalun, Предложенная лемма: plaţa (100.0%)
Слово: şoqinnun, Предложенная лемма: şəq (100.0%)
Слово: mətruji, Предложенная лемма: mətruji (100.0%)
Слово: zulxar, Предложенная лемма: zulə (100.0%)
Слово: ruşun, Предложенная лемма: riş (100.0%)
Слово: gurzu, Предложенная лемма: gura (100.0%)
Слово: razьjvax, Предложенная лемма: razьj (100.0%)
Слово: ətjənə, Предложенная лемма: jən (62.5%)
Слово: şəqqin, Предложенная лемма: şəq (100.0%)
Слово: atur, Предложенная лемма: atra (100.0%)
Слово: sansupь, Предложенная лемма: sansulь (88.9%)
Слово: zukziktevə, Предложенная лемма: zukzikkə (81.8%)
Слово: xərçi, Предложенная лемма: xə (100.0%)
Слово: вirgədllə, Предложенная лемма: rgədə (66.7%)
Слово: zodilə, Предложенная лемма: zodə (100.0%)
Слово: maqarusujatь, Предложенная лемма: maqrusь (100.0%)
Слово: pjaca, Предложенная лемма: pjaca (100.0%)
Слово: lsaat, Предложенная лемма: sahatt (62.5%)
Слово: əxtun, Предложенная лемма: əx (100.0%)
Слово: ţalьвva, Предложенная лемма: ţlьвta (88.9%)
Слово: jəməti, Предложенная лемма: jə (100.0%)
Слово: noвədəri, Предложенная лемма: noвə (100.0%)
Слово: pummi, Предложенная лемма: pumməxtə (100.0%)
Слово: əhəsi, Предложенная лемма: əhə (100.0%)
Слово: məşruqi, Предложенная лемма: məşruqi (100.0%)
Слово: təviвit, Предложенная лемма: itə (100.0%)
Слово: mteta, Предложенная лемма: matta (100.0%)
Слово: məveli, Предложенная лемма: məvudi (75.0%)
Слово: şijpələ, Предложенная лемма: şijlə (77.8%)
Слово: anni, Предложенная лемма: ənni (100.0%)
Слово: ţьnnь, Предложенная лемма: nin (62.5%)
Слово: jaddaxla, Предложенная лемма: jaddana (80.0%)
Слово: məşxu, Предложенная лемма: məşxuni (100.0%)
Слово: dьqrь, Предложенная лемма: ьqra (62.5%)
Слово: вehişjərutu, Предложенная лемма: вehuş (100.0%)
Слово: jaddьna, Предложенная лемма: jaddana (100.0%)
Слово: gurșud, Предложенная лемма: gura (100.0%)
Слово: palakanь, Предложенная лемма: pal (100.0%)
Слово: ələв, Предложенная лемма: lə (100.0%)
Слово: qulminni, Предложенная лемма: quləni (77.8%)
Слово: mənix, Предложенная лемма: mənxiqənə (100.0%)
Слово: pullьlь, Предложенная лемма: ullul (66.7%)
Слово: ləvijə, Предложенная лемма: lə (100.0%)
Слово: mumţьjalun, Предложенная лемма: mamţьjana (90.9%)
Слово: qərвuni, Предложенная лемма: qərqupi (66.7%)
Слово: iranь, Предложенная лемма: ara (100.0%)
Слово: xəjənə, Предложенная лемма: xə (100.0%)
Слово: xəno, Предложенная лемма: xə (100.0%)
Слово: culah, Предложенная лемма: cu (100.0%)
Слово: pastьjalь, Предложенная лемма: paseta (100.0%)
Слово: astrijaja, Предложенная лемма: astar (100.0%)
Слово: вarreta, Предложенная лемма: вar (100.0%)
Слово: ləgə, Предложенная лемма: lə (100.0%)
Слово: ləxxilə, Предложенная лемма: ləxxə (100.0%)
Слово: mummьrran, Предложенная лемма: mьmra (77.8%)
Слово: mudja, Предложенная лемма: mekə (100.0%)
Слово: xçəldə, Предложенная лемма: xə (100.0%)
Слово: lxasu, Предложенная лемма: aul (100.0%)
Слово: purqənə, Предложенная лемма: ərqənə (66.7%)
Слово: caxь, Предложенная лемма: caxcuxь (100.0%)
Слово: şurьli, Предложенная лемма: şura (100.0%)
Слово: naşi, Предложенная лемма: nşiqtə (100.0%)
Слово: qţьjlala, Предложенная лемма: qţala (77.8%)
Слово: puqdivə, Предложенная лемма: puqdənə (88.9%)
Слово: mşintu, Предложенная лемма: mintə (66.7%)
Слово: mujuvin, Предложенная лемма: məjmun (66.7%)
Слово: вьjuta, Предложенная лемма: вjuta (100.0%)
Слово: mudьrra, Предложенная лемма: umud (100.0%)
Слово: tulquvin, Предложенная лемма: tula (100.0%)
Слово: zərzəmije, Предложенная лемма: zirzəmij (100.0%)
Слово: məplillin, Предложенная лемма: məpluxi (72.7%)
Слово: həmzumt, Предложенная лемма: həm (100.0%)
Слово: təmвu, Предложенная лемма: tənвəl (100.0%)
Слово: piqji, Предложенная лемма: piqqə (75.0%)
Слово: şulxəli, Предложенная лемма: şulxəjə (88.9%)
Слово: ruppe, Предложенная лемма: rpapa (100.0%)
Слово: xoşвeş, Предложенная лемма: xoş (100.0%)
Слово: kalu, Предложенная лемма: kəlu (100.0%)
Слово: qolcəq, Предложенная лемма: qolə (100.0%)
Слово: səmminənə, Предложенная лемма: səmmənə (100.0%)
Слово: ţalвa, Предложенная лемма: ţla (100.0%)
Слово: mərjuzi, Предложенная лемма: mərjuzi (100.0%)
Слово: вrixşilə, Предложенная лемма: rixşə (66.7%)
Слово: kilpəlto, Предложенная лемма: kilpət (90.0%)
Слово: plaqaţь, Предложенная лемма: polq (100.0%)
Слово: вənejəti, Предложенная лемма: вinjət (100.0%)
Слово: xpitəlquxə, Предложенная лемма: ptələ (66.7%)
Слово: xzllən, Предложенная лемма: zələ (62.5%)
Слово: qazarmь, Предложенная лемма: qaza (100.0%)
Слово: şunninneli, Предложенная лемма: şinel (63.6%)
Слово: вьcjamьlь, Предложенная лемма: вcujra (80.0%)
Слово: xulqu, Предложенная лемма: xalu (100.0%)
Слово: вaqьrrun, Предложенная лемма: вaqrana (90.0%)
Слово: şujelən, Предложенная лемма: şijlə (100.0%)
Слово: esseseser, Предложенная лемма: sьsra (70.0%)
